SessionID,LastActiveStep,RageClickCount,DropOffStep,RepeatedConfusionSignal,SessionCluster,SessionStartTime
GAB-SESSION-10001,Cover Selection Step,6,Completed Purchase,Multiple clicks on disabled continue button,Photo Upload Struggler,2026-01-28 02:26:00
GAB-SESSION-10002,Main Character Name Step,5,Photo Upload Step,Back navigation between steps,Photo Upload Struggler,2026-02-09 09:19:00
GAB-SESSION-10003,Gender Step,0,Photo Upload Step,None,Stuck on Personality Questions,2026-02-23 13:44:00
GAB-SESSION-10004,Other Characters Step,7,Completed Purchase,Hovering over help text,Photo Upload Struggler,2026-01-22 01:02:00
GAB-SESSION-10005,Other Characters Step,2,Photo Upload Step,None,Photo Upload Struggler,2026-02-15 10:59:00
GAB-SESSION-10006,Main Character Name Step,7,Book Type Step,Back navigation between steps,Payment Drop-off,2026-01-06 05:06:00
GAB-SESSION-10007,Personality Questions Step,12,Completed Purchase,Repeated field edits,Stuck on Personality Questions,2026-02-23 18:07:00
GAB-SESSION-10008,Recipient Name Step,8,Cover Selection Step,Repeated field edits,Preview Hesitation,2026-02-23 21:05:00
GAB-SESSION-10009,Photo Upload Step,5,Main Character Name Step,Hovering over help text,Payment Drop-off,2026-02-24 19:59:00
GAB-SESSION-10010,Checkout Payment Step,9,Completed Purchase,None,Stuck on Personality Questions,2026-01-25 05:49:00
GAB-SESSION-10011,Occasion Step,3,Completed Purchase,None,Stuck on Personality Questions,2026-02-24 08:33:00
GAB-SESSION-10012,Relationship Step,12,Cover Selection Step,Back navigation between steps,Preview Hesitation,2026-02-23 02:13:00
GAB-SESSION-10013,Book Type Step,2,Completed Purchase,None,Photo Upload Struggler,2026-02-08 19:14:00
GAB-SESSION-10014,Main Character Name Step,12,Completed Purchase,Hovering over help text,Stuck on Personality Questions,2026-01-03 17:27:00
GAB-SESSION-10015,Photo Upload Step,6,Cover Selection Step,Repeated field edits,Preview Hesitation,2026-02-02 18:22:00
GAB-SESSION-10016,Other Characters Step,9,Relationship Step,None,Preview Hesitation,2026-01-26 00:37:00
GAB-SESSION-10017,Main Character Name Step,11,Tone Selection Step,Back navigation between steps,Payment Drop-off,2026-01-29 14:35:00
GAB-SESSION-10018,Other Characters Step,10,Relationship Step,Repeated field edits,Preview Hesitation,2026-02-11 12:59:00
GAB-SESSION-10019,Occasion Step,4,Completed Purchase,Repeated field edits,Preview Hesitation,2026-02-21 21:50:00
GAB-SESSION-10020,Photo Upload Step,10,Completed Purchase,Hovering over help text,Smooth Completion,2026-02-25 11:16:00
GAB-SESSION-10021,Cover Selection Step,11,Recipient Name Step,None,Stuck on Personality Questions,2026-02-21 22:53:00
GAB-SESSION-10022,Other Characters Step,9,Occasion Step,Multiple clicks on disabled continue button,Payment Drop-off,2026-01-13 20:17:00
GAB-SESSION-10023,Recipient Name Step,9,Photo Upload Step,Multiple clicks on disabled continue button,Stuck on Personality Questions,2026-01-14 05:00:00
GAB-SESSION-10024,Main Character Name Step,1,Tone Selection Step,None,Smooth Completion,2026-01-30 03:00:00
GAB-SESSION-10025,Story Preview Step,3,Cover Selection Step,None,Smooth Completion,2026-01-07 16:30:00
GAB-SESSION-10026,Checkout Payment Step,11,Completed Purchase,Repeated field edits,Smooth Completion,2026-02-03 14:18:00
GAB-SESSION-10027,Occasion Step,5,Recipient Name Step,Multiple clicks on disabled continue button,Payment Drop-off,2026-02-08 11:47:00
GAB-SESSION-10028,Other Characters Step,0,Completed Purchase,Back navigation between steps,Stuck on Personality Questions,2026-02-01 16:40:00
GAB-SESSION-10029,Relationship Step,8,Completed Purchase,None,Payment Drop-off,2026-01-08 13:43:00
GAB-SESSION-10030,Photo Upload Step,10,Relationship Step,Hovering over help text,Stuck on Personality Questions,2026-02-15 00:02:00
GAB-SESSION-10031,Story Preview Step,10,Main Character Name Step,Back navigation between steps,Smooth Completion,2026-01-10 20:38:00
GAB-SESSION-10032,Story Preview Step,1,Completed Purchase,Multiple clicks on disabled continue button,Payment Drop-off,2026-02-15 14:36:00
GAB-SESSION-10033,Occasion Step,12,Photo Upload Step,Repeated field edits,Preview Hesitation,2026-01-22 15:33:00
GAB-SESSION-10034,Main Character Name Step,8,Occasion Step,Hovering over help text,Preview Hesitation,2026-02-22 11:03:00
GAB-SESSION-10035,Story Preview Step,3,Relationship Step,Hovering over help text,Smooth Completion,2026-02-13 15:17:00
GAB-SESSION-10036,Relationship Step,5,Occasion Step,Back navigation between steps,Stuck on Personality Questions,2026-02-24 23:35:00
GAB-SESSION-10037,Photo Upload Step,1,Occasion Step,None,Payment Drop-off,2026-01-30 03:05:00
GAB-SESSION-10038,Photo Upload Step,2,Completed Purchase,Back navigation between steps,Preview Hesitation,2026-02-01 14:45:00
GAB-SESSION-10039,Recipient Name Step,11,Checkout Payment Step,None,Preview Hesitation,2026-01-02 13:56:00
GAB-SESSION-10040,Relationship Step,11,Occasion Step,Hovering over help text,Stuck on Personality Questions,2026-01-20 11:02:00
GAB-SESSION-10041,Cover Selection Step,4,Occasion Step,None,Photo Upload Struggler,2026-01-02 02:59:00
