UserID,SessionDate,FurthestFunnelStep,FunnelStepNumber,FeatureTracked,FeatureUsed,Converted,ConversionValueUSD
GAB-USER-5001,2026-01-28,Uploaded Photo,11,Answered Personality Questions,Yes,No,0
GAB-USER-5002,2026-01-08,Selected Gender,7,Viewed Preview Before Payment,Yes,No,0
GAB-USER-5003,2026-01-17,Selected Book Cover,12,Answered Personality Questions,Yes,No,0
GAB-USER-5004,2026-01-15,Viewed Story Preview,13,Uploaded Photo,No,No,0
GAB-USER-5005,2026-02-12,Selected Gender,7,Viewed Preview Before Payment,Yes,No,0
GAB-USER-5006,2026-02-03,Completed Relationship,3,Answered Personality Questions,Yes,No,0
GAB-USER-5007,2026-01-07,Selected Book Type,5,Viewed Preview Before Payment,No,No,0
GAB-USER-5008,2026-03-02,Started Recipient Name,1,Uploaded Photo,No,No,0
GAB-USER-5009,2026-02-20,Selected Book Cover,12,Answered Personality Questions,Yes,No,0
GAB-USER-5010,2026-01-28,Completed Occasion,4,Viewed Preview Before Payment,Yes,No,0
GAB-USER-5011,2026-03-01,Completed Recipient Name,2,Viewed Preview Before Payment,Yes,No,0
GAB-USER-5012,2026-02-12,Selected Gender,7,Uploaded Photo,Yes,No,0
GAB-USER-5013,2026-02-04,Viewed Story Preview,13,Viewed Preview Before Payment,No,No,0
GAB-USER-5014,2026-01-21,Selected Book Cover,12,Viewed Preview Before Payment,No,No,0
GAB-USER-5015,2026-01-24,Selected Gender,7,Selected Cover,Yes,No,0
GAB-USER-5016,2026-02-16,Added Other Characters,8,Viewed Preview Before Payment,No,No,0
GAB-USER-5017,2026-02-21,Uploaded Photo,11,Selected Cover,Yes,No,0
GAB-USER-5018,2026-01-28,Added Other Characters,8,Answered Personality Questions,Yes,No,0
GAB-USER-5019,2026-01-12,Completed Payment,14,Selected Cover,No,Yes,39
GAB-USER-5020,2026-02-06,Completed Personality Questions,10,Selected Cover,Yes,No,0
GAB-USER-5021,2026-02-07,Selected Book Type,5,Viewed Preview Before Payment,Yes,No,0
GAB-USER-5022,2026-01-15,Entered Main Character Name,6,Uploaded Photo,Yes,No,0
GAB-USER-5023,2026-01-02,Viewed Story Preview,13,Selected Cover,Yes,No,0
GAB-USER-5024,2026-02-07,Completed Payment,14,Answered Personality Questions,Yes,Yes,29
