MessageID,UserType,Channel,RawMessage,FeatureComplaint,ConfusionMoment,RepeatedQuestion,EmotionalIntensity
1,Customer,#support,Can I change the cover after selecting it?,No,Yes,Yes,2
2,Customer,#support,Do I have to answer all personality questions?,No,Yes,Yes,1
3,Customer,#support,Do I have to answer all personality questions?,No,Yes,Yes,1
4,Customer,#support,Photo upload keeps failing,Yes,No,No,5
5,Customer,#support,I entered the recipient name but it says invalid,Yes,Yes,No,3
6,Customer,#support,Photo upload keeps failing,Yes,No,No,5
7,Customer,#support,The preview took too long to load,Yes,No,No,3
8,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
9,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
10,Customer,#support,What kind of questions will you ask about the person?,No,Yes,Yes,1
11,Customer,#support,What kind of questions will you ask about the person?,No,Yes,Yes,1
12,Customer,#support,Can I edit the story after preview?,No,Yes,Yes,2
13,Customer,#support,Do I have to answer all personality questions?,No,Yes,Yes,1
14,Customer,#support,The main character name field is confusing,Yes,Yes,No,3
15,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
16,Customer,#support,Is the photo only used for the cover?,No,Yes,Yes,2
17,Customer,#support,Can I change the cover after selecting it?,No,Yes,Yes,2
18,Customer,#support,Can I change the cover after selecting it?,No,Yes,Yes,2
19,Customer,#support,I entered the recipient name but it says invalid,Yes,Yes,No,3
20,Customer,#support,My book cover options are not loading,Yes,No,No,4
21,Customer,#support,I didn’t receive the email after payment,Yes,No,Yes,5
22,Customer,#support,Is the photo only used for the cover?,No,Yes,Yes,2
23,Customer,#support,How long does generation take after I answer questions?,No,Yes,Yes,2
24,Customer,#support,My book cover options are not loading,Yes,No,No,4
25,Customer,#support,Is the photo only used for the cover?,No,Yes,Yes,2
26,Customer,#support,Photo upload keeps failing,Yes,No,No,5
27,Customer,#support,The main character name field is confusing,Yes,Yes,No,3
28,Customer,#support,The preview took too long to load,Yes,No,No,3
29,Customer,#support,Can I edit the story after preview?,No,Yes,Yes,2
30,Customer,#support,The preview took too long to load,Yes,No,No,3
31,Customer,#support,Can I change the cover after selecting it?,No,Yes,Yes,2
32,Customer,#support,Where do I enter my email address?,No,Yes,Yes,2
33,Customer,#support,I entered the recipient name but it says invalid,Yes,Yes,No,3
34,Customer,#support,Photo upload keeps failing,Yes,No,No,5
35,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
36,Customer,#support,The preview took too long to load,Yes,No,No,3
37,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
38,Customer,#support,Where do I enter my email address?,No,Yes,Yes,2
39,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
40,Customer,#support,What kind of questions will you ask about the person?,No,Yes,Yes,1
41,Customer,#support,The preview took too long to load,Yes,No,No,3
42,Customer,#support,Photo upload keeps failing,Yes,No,No,5
43,Customer,#support,Can I edit the story after preview?,No,Yes,Yes,2
44,Customer,#support,The preview took too long to load,Yes,No,No,3
45,Customer,#support,The preview took too long to load,Yes,No,No,3
46,Customer,#support,I can’t find the occasion option,No,Yes,Yes,2
47,Customer,#support,I added other characters but they don’t appear in preview,Yes,No,No,4
48,Customer,#support,Do I have to answer all personality questions?,No,Yes,Yes,1
49,Customer,#support,Why do you need gender for the story?,No,Yes,Yes,2
50,Customer,#support,Where do I choose my relationship to the recipient?,No,Yes,Yes,2
