ArtifactID,ArtifactType,ResearcherName,CreatedDate,ContentSnippet
GAB-UR-9001,Research Notes,Sara,2026-01-20,Multiple users re-read tone selection before proceeding.
GAB-UR-9002,Research Notes,Daniel,2026-02-16,Users smiled when preview loaded successfully.
GAB-UR-9003,Survey Response,Sara,2026-02-12,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9004,Interview Transcript,Rohit,2026-02-12,Several users thought the cover selection was part of checkout.
GAB-UR-9005,Research Notes,Meera,2026-03-23,Multiple users re-read tone selection before proceeding.
GAB-UR-9006,Interview Transcript,Aisha,2026-01-14,One participant said the emotional tone made the gift feel very special.
GAB-UR-9007,Research Notes,Meera,2026-01-16,Noted frustration when photo upload spinner lasted more than 5 seconds.
GAB-UR-9008,Interview Transcript,Sara,2026-01-10,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9009,Research Notes,Sara,2026-02-05,Multiple users re-read tone selection before proceeding.
GAB-UR-9010,Survey Response,Sara,2026-02-27,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9011,Survey Response,Rohit,2026-02-12,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9012,Interview Transcript,Daniel,2026-03-04,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9013,Survey Response,Sara,2026-03-26,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9014,Interview Transcript,Aisha,2026-01-25,Several users thought the cover selection was part of checkout.
GAB-UR-9015,Survey Response,Rohit,2026-01-02,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9016,Interview Transcript,Aisha,2026-01-09,User expected to see the photo reflected more clearly in the character.
GAB-UR-9017,Interview Transcript,Daniel,2026-02-21,Several users thought the cover selection was part of checkout.
GAB-UR-9018,Research Notes,Aisha,2026-03-16,Users smiled when preview loaded successfully.
GAB-UR-9019,Survey Response,Daniel,2026-02-09,Rating: 2/5 – Had trouble understanding some questions.
GAB-UR-9020,Survey Response,Sara,2026-03-16,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9021,Survey Response,Meera,2026-03-09,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9022,Research Notes,Rohit,2026-03-06,Observed hesitation during personality question step.
GAB-UR-9023,Survey Response,Daniel,2026-02-26,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9024,Survey Response,Daniel,2026-01-25,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9025,Interview Transcript,Aisha,2026-03-28,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9026,Survey Response,Meera,2026-01-23,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9027,Survey Response,Meera,2026-01-20,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9028,Survey Response,Aisha,2026-02-01,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9029,Interview Transcript,Aisha,2026-02-19,User expected to see the photo reflected more clearly in the character.
GAB-UR-9030,Survey Response,Aisha,2026-01-01,Rating: 4/5 – Cover looked amazing.
GAB-UR-9031,Survey Response,Aisha,2026-02-10,Rating: 4/5 – Cover looked amazing.
GAB-UR-9032,Research Notes,Aisha,2026-03-26,Multiple users re-read tone selection before proceeding.
GAB-UR-9033,Survey Response,Sara,2026-01-06,Rating: 3/5 – Story was good but not very personal.
GAB-UR-9034,Survey Response,Sara,2026-03-03,"Rating: 4/5 – Loved the concept, but upload was slow."
GAB-UR-9035,Survey Response,Daniel,2026-01-20,Rating: 5/5 – The recipient cried happy tears!
GAB-UR-9036,Interview Transcript,Meera,2026-03-13,Parent mentioned confusion about difference between recipient name and main character name.
GAB-UR-9037,Interview Transcript,Rohit,2026-02-28,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9038,Interview Transcript,Aisha,2026-01-27,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9039,Research Notes,Rohit,2026-02-04,Users smiled when preview loaded successfully.
GAB-UR-9040,Research Notes,Rohit,2026-03-19,Participants often asked if they could edit the story later.
GAB-UR-9041,Interview Transcript,Sara,2026-03-17,User said they loved the idea but felt the personality questions were too long.
GAB-UR-9042,Interview Transcript,Rohit,2026-03-08,User said they loved the idea but felt the personality questions were too long.
